district	schoolName
205	222,2619,2620
206	103,293,404,478,688,1294,2635,2976,2977,3044,3208,4287,4423,4827,5055,5474,6264,6608,7098,7150,7160,8082,8083,8223,8456,8861,10000,10183
207	1619,2659,3043,3664,4109,4867,5069,5121,6280,6296,6679,6799,8281
208	1100
209	1955,2672,2933,3529,9181
210	2701,6795
211	722,2299,2391,2757,3848,3948,4163,4268,4722,5223,5644,5741,5849,8878,9781,10081
212	1684,2771
213	2769
214	2713,2768,4283,6625,7287,9379
215	1734,1860,1955,2084,3528,5125,6396,7309,8400,9162,9982,10174
216	554,2780,2781,3136,6238,7883,8565
217	971,2577,2793,2855,5535,6520,6523,7684,7717,7718,7923,8583,8742,9425
218	518,1588,2799,2800,7639
219	2810
220	440,527,544,573,745,1307,1325,1479,1683,2093,2277,2290,2706,2717,2832,2836,2843,2844,2845,2851,2860,3185,3188,3189,3260,3308,3864,3955,4019,4336,4349,4404,4434,4478,4527,4580,4619,4624,4691,4952,5028,5534,5691,5777,6156,7242,7243,7316,7510,7665,7764,7765,7912,7994,7995,8370,8789,8904,8985,9197,9258,9377,9467,10250
221	2846
222	292,295,2874
223	444,2891,2892,2893
224	218,902,1406,1782,2903,6486
225	1413,1415,2738,3178,4873,6047,6673,6674,6724,7009,7078,7079
226	311,1044,5051,6067,6875,7045,7536,7901,8366
227	2389,2787,2965,2966,3113,9673
228	810,903,1597,1845,1847,2032,2327,3115,3125,3564,4012,4013,4046,4667,4861,5223,5999,6052,6442,6499,6610,6784,7203,7393,7569,7659,7785,7869
229	1846,1848,2328,2329,2968,2969,2970,2972,2973,6785,8130,9468
230	2980,2981,2982,5523
231	1433,1499,1556,2281,2289,2638,3011,3014,3691,4011,4558,7108,8856,9083,9854,10094
232	214,1544,3027,3684,4946,9781,10106,10254
233	3048,3727,5558,6640,6716,6736,7646,10046
234	1261,1466,1557,1647,2514,3043,3500,4133,4414,4555,4692,5077,5991,6562,6593,7400,8458,9214
235	327,3050,7806,10082
236	3070,8399,9637,10252
