city	schoolName
149	4529,5223,7843
150	390,1243,2454,2455,3738,5564,9270
151	1234,1235,1508,7155
152	2509
153	167,1470,1960,2505,2518,2519,3403,3460,3746,3928,4278,5176,6704,7338,7671,7679,8741,8930,9396,9759,9767,10036
154	5335
155	400,811,2564,5807,6262,7919,9492
156	2099,2565,2566,2822,3324,3862,4377,4408,4541,6297,8700,9468,9833
157	2574,2575,2576
158	2620
159	31,32,1139,2282,3224,3263,3795,3796,4614,4805,4818,4829,6206
160	604,605,1085,2090,2092,2653,2673,5427,5429,5861,7506,7833,9123
161	1835,2535,2675,2823,4674,7855,9293,9504
162	697,2393
163	476,1000,1043,1269,1270,1672,1714,1780,2291,2319,2432,2637,2733,2734,2735,2736,2881,3177,3195,3218,3220,3221,3222,3678,3725,4097,4157,4318,4593,5183,5262,5263,5264,5405,5522,5538,5919,5943,6171,6211,6330,6844,7105,7494,7689,7970,8343,9702
164	722,1607,1608,2299,2391,2397,2757,3292,3848,3948,4163,4268,4722,5223,5644,5741,5849,7153,8612,9781,10081
165	3848
166	3391,4158,4971,4992,6615,6625,7700,7824,8455
167	2775
168	699,1695,1734,1955,2084,2780,2781,3136,4474,4917,5125,5806,6032,6238,6396,7034,7309,8400,9162,9350,9982,10174
169	3483,3512,5666,7057,7974,9640
170	518,1588,2799,2800,7639
171	2842
172	174,527,573,1307,1479,2093,2706,2717,2832,2836,2843,2844,2845,2851,2860,3185,3260,3308,3864,3955,4336,4404,4478,4527,4619,4624,4691,4952,5691,6156,7242,7243,7510,7912,8789,9197,9258,10250
173	2974
174	117,119,1413,1415,1420,1421,2433,3178,6603,6604,6673,6674,7009,7078,7079,8042,8043,8910,8911
175	2787,2966,3113
176	810,903,1597,1845,1846,1847,1848,2032,2327,2328,2329,2968,2969,2970,2972,2973,3115,3125,3564,4012,4013,4046,4667,4861,5223,5999,6442,6499,6610,6784,6785,7203,7393,7569,7659,7785,7869,8129,8130,8131,9468
177	2982
178	3015,3016,3017,8283,8284
179	214,1544,2213,3027,3348,3349,3684,4946,7170,7650,8559,9781,10106,10254
180	327
181	6793
182	411,441,538,687,1581,1861,2045,2515,2597,2690,3073,3074,3075,3088,3609,3625,3674,3720,3778,4156,4679,5065,5763,5794,6360,6633,6872,7363,7823,8255,8311,8837,9025,9205,9262,9263,9264,9265,9524,9827
183	4365,6666,9443,10009
184	2313,3111,3112,3327,3489,4370
185	8105,8506
186	3141,3142
187	9928
188	6339
189	197,282,284,822,1385,1556,1669,1812,1815,2216,2272,2281,2461,2491,2638,3203,3204,3205,3206,3877,3975,3990,4011,4667,4671,4675,4694,5271,5585,5952,6319,6531,6619,6707,6955,7026,7291,7505,7550,7944,8321,8346,8421,8599,8610,8853,8955,9036,9200,9805,9854,9875
190	3237,3238,9845
191	2247,3240,3241,6576,7550,9172
192	2016,3242,5177
193	3243,8285
194	649,1047,1094,3257,8121
195	2109,2116,3004,3261,3378,3539,3835,4429,5371,5578,5785,7234,9007,9498,9691
196	2662,3266,3267,4585,4787,5726,7845
197	363,513,685,1108,1145,1254,1311,1312,1589,1804,2592,3234,3314,3334,3389,3545,3574,3896,4156,4343,4376,4422,4515,4530,4537,4540,4560,4616,4628,5130,6056,6057,6061,6062,6449,6595,6722,6845,7027,7071,7777,8682,8766,8810,9167,9213,9448,9655,9760,9771,9783,10010,10204
198	3345
199	127,157,160,433,592,682,684,698,920,942,970,1191,1192,1218,1326,1332,1424,1489,1490,1577,1600,1606,1887,1955,2039,2041,2156,2275,2310,2331,2408,2413,2677,2698,2700,2703,2704,2754,2838,2950,2953,3045,3056,3105,3154,3180,3239,3245,3247,3337,3350,3351,3381,3527,3540,3681,3799,3818,3889,3944,4000,4024,4122,4159,4346,4372,4391,4420,4435,4461,4581,4584,4686,4732,4733,4740,4773,4834,4854,5011,5079,5189,5223,5449,5577,5584,5690,5815,5830,5849,5857,5975,6204,6236,6275,6337,6364,6365,6406,6485,6496,6582,6778,7058,7059,7118,7139,7149,7154,7178,7314,7385,7441,7740,7780,7813,7815,7906,7945,8256,8271,8319,8321,8414,8500,8603,8734,8896,8908,9030,9041,9056,9069,9145,9195,9323,9475,9485,9526,9597,9627,9633,9642,9703,9704,9804,9814,9851,9852,9867,9868,10030,10079,10090,10115,10122,10203
200	81,823,1971,2227,3134,3376,3377,3607,4020,4927,4938,4945,4959,5616,6440,6792,6891,7512,7633,7749,7823,7860,8887,8913,9223,9294,9429,10134
201	3001,3086,3404,4965,5195,5641,7713,7767,9481,9565,9905
202	62,142,153,391,392,1019,1136,1154,1245,1872,2484,2556,2582,2614,2926,2956,3008,3048,3119,3411,3412,3471,3531,4112,4367,4573,4609,4974,5001,5170,5256,5455,5667,5709,5880,5881,5924,6198,6689,6909,7034,7075,7466,7723,8235,8895,9156,9717,10132
203	8,9,10,12,13,137,373,374,375,1675,1676,2385,2386,2531,2939,3416,3417,3418,3419,3420,3421,3488,4670,6089,6090,6399,6739,6740,6741,6745,7095,7384,8657,10214
204	371,3511
205	475,1147,1148,1786,2555,2795,2829,3456,3533,3534,3535,3536,3564,5025,5473,6261,7807,8181,8538,8601
206	73,397,883,1622,1935,1961,2157,2238,2573,2821,3568,3578,4000,4193,4520,4562,4569,5703,6879,7405,9131,9143,9146,9492,9558,10160
207	1105,2194,3569,3594,4798,4799,4885,8159,8304,8728,8931,9781,9947,10035,10052
208	3627,4354,4706
209	3634,3635,4886,8540
210	3668,3669,9085,9087
211	3676,3727,6640,7646
212	313,808,978,1745,1746,2095,3695,5489,5540,5642,9994
213	1629,3724,5766,6598,9690
214	2449
215	2987,3740,5849,8957,10079
216	3666
217	9068
218	3752,3754
219	4741,5764
220	3769,7828
221	5367,6941
222	338,2773,3107,3789,5606,7166
223	2849
224	2176,2612,3361,3507,3799,3811,3812,3813,3814,3815,3816,3817,4369,4457,4531,4621,4788,4789,4790,4791,4794,4835,5119,5223,5741,5958,6095,7203,7209,7843,8428,10159
225	3122,3906
226	1171,1797,1799,2230,2231,2232,2233,2250,3018,3049,3059,3910,3911,3912,4453,4638,4835,4852,6200,7127,7317,7447,7575,9776,10172,10199,10251
227	3914,3915,9117
228	165,230,467,1052,1084,1090,1199,1209,1635,1733,1946,2055,2629,2632,2685,2686,2820,3088,3092,3546,3846,3919,3920,3966,4065,4106,4272,4846,5098,5343,5354,5358,5749,6254,6949,7010,7920,7946,8101,8257,8459,8607,8793,8829,9071,9269,9364,10112
229	3172,3931,3932,3933,3934,5630
230	3996
231	83,200,603,778,1549,2271,2424,3368,3856,3957,3973,3974,4395,5267,5865,7450,7501,8999,9441,9884,9900,9965
232	4017,6259
233	4022
234	1397,3019,4629,5616,5927,8841
235	4037,4038,4039
236	2124
237	563,814,1917,2128,2216,4070,4073,6697,8002,8333,8649,9162
238	1287,1288,4127,8014,8635
239	2900,4150,4151
240	4200
241	748,4227
242	115,151,1093,1112,1419,1805,1898,1936,2700,3005,3622,3647,3843,3965,4188,4235,4236,4247,4347,4543,4576,4623,4765,4981,5165,5680,5688,5936,6427,6630,6680,6699,7435,7948,8273,8637,8875,9000,9608
243	88,622,4187,4243,4811,5718,5968,5981,6884,7319,7921,8299,8587,9740
244	1742,4250,4251
245	4262
246	4264
247	872,3091,4273,4279,8983
248	790,1597,3357,4274,4275,4276,5626,6750,9634
249	3519
250	357,376,402,1478,2399,2469,2552,2583,3999,4300,4301,4426,4529,4539,5492,5752,6245,7623,8347,9084,9130,9147
251	210,2472,3526
252	276,414,418,554,886,930,1590,1613,1614,1617,1618,1752,1823,1893,2187,2459,2940,3282,3645,4068,4220,4256,4257,4306,4307,4461,4711,4931,6094,6401,6626,9768,9974,9975,10185,10186
253	4331,4332,6230
254	198,545,802,1023,1161,1401,1932,2139,2199,2221,2318,2623,2671,2751,3729,4041,4340,4341,4467,4991,5637,5872,6557,6558,6601,6801,7132,7240,7302,7306,7495,8236,8449,8575,8639,8788,8795,9012,9326,9387,9388,9540,9688,9924,9941,10131,10132
255	4356
256	520,4391,4393
257	4437
258	4654,4655,4656,7533
259	1359,3557,3677,4282,4297,4672,4977,5441,6022,6038,6052,6578,7070,7096,7107,7924,8492,8785,9876
260	2682,4709,4710,6247,7744
261	3685
262	2934,3626,4735,4736,4737,4738,5189,8867
263	4747
264	4754
265	1662,2347,4770,4771,7146,7190,7307,8197
266	7843
